Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #06-02 ,1,111,Strata,620000,-,5586,519,28-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529864,East Region,Tampines
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #02-05 ,1,116,Strata,680000,-,5862,545,28-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529864,East Region,Tampines
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #11-08 ,1,126,Strata,728000,-,5778,537,27-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529861,East Region,Tampines
THE EDEN AT TAMPINES,29 Tampines Street 34  #08-29 ,1,115,Strata,610000,-,5304,493,26-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529236,East Region,Tampines
THE EDEN AT TAMPINES,37 Tampines Street 34  #08-43 ,1,126,Strata,703000,-,5579,518,25-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529240,East Region,Tampines
SIMEI GREEN CONDOMINIUM,11 Simei Street 4  #09-01 ,1,128,Strata,695000,-,5430,504,25-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529866,East Region,Tampines
PINEVALE,12 Tampines Street 73  #09-01 ,1,119,Strata,620000,-,5210,484,25-May-09,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528828,East Region,Tampines
THE EDEN AT TAMPINES,25 Tampines Street 34  #10-15 ,1,115,Strata,630000,-,5478,509,15-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529234,East Region,Tampines
THE EDEN AT TAMPINES,23 Tampines Street 34  #09-09 ,1,80,Strata,470000,-,5875,546,15-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529233,East Region,Tampines
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #01-06 ,1,130,Strata,670000,-,5154,479,15-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529865,East Region,Tampines
SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #05-02 ,1,111,Strata,595000,-,5360,498,14-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529864,East Region,Tampines
THE EDEN AT TAMPINES,37 Tampines Street 34  #04-42 ,1,126,Strata,630000,-,5000,465,8-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529240,East Region,Tampines
THE EDEN AT TAMPINES,21 Tampines Street 34  #05-02 ,1,80,Strata,475000,-,5938,552,8-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529232,East Region,Tampines
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #01-08 ,1,161,Strata,680000,-,4224,392,8-May-09,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529868,East Region,Tampines
THE EDEN AT TAMPINES,37 Tampines Street 34  #09-43 ,1,126,Strata,700000,-,5556,516,7-May-09,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529240,East Region,Tampines
EASTVALE,39 Pasir Ris Drive 3  #08-04 ,1,102,Strata,585000,-,5735,533,6-May-09,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519495,East Region,Pasir Ris
